"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/controllers/AdminController.js", "JavaScript", 8, 20, 2, 30
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/controllers/ApiController.js", "JavaScript", 81, 63, 18, 162
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/controllers/StoreController.js", "JavaScript", 5, 13, 1, 19
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/logic/InvoiceView.js", "JavaScript", -126, -27, -10, -163
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/logic/ModelInvoice.js", "JavaScript", -75, -83, -21, -179
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/logic/Order.js", "JavaScript", -119, -94, -35, -248
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/logic/Product.js", "JavaScript", -72, -99, -22, -193
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/logic/ProductCatalog.js", "JavaScript", -62, -46, -18, -126
"/Users/filippa/Universitet/År 2/1dv610/Examinations/Order_System_L3/src/logic/Store.js", "JavaScript", -63, -69, -20, -152
"Total", "-", -423, -322, -105, -850